century;identifier;author;title;rights
19;https://gallica.bnf.fr/ark:/12148/btv1b8615773p;Maistre, Xavier de (1763-1852) (nouvelle fenêtre);Voyage autour de ma chambre, par M. le C. X****** [Xavier de Maistre],...;['domaine public', 'public domain']
19;https://gallica.bnf.fr/ark:/12148/bpt6k80421p;Maistre, Xavier de (1763-1852) (nouvelle fenêtre);"Les prisonniers du Caucase ; suivis du Lépreux de la cité d'Aoste / par M. Xavier de Maistre";['domaine public', 'public domain']
19;https://gallica.bnf.fr/ark:/12148/bpt6k802098;Maistre, Xavier de (1763-1852) (nouvelle fenêtre);"Voyage autour de ma chambre ; suivi de L'expédition nocturne [autour de ma chambre] ; et de Le lépreux de la cité d'Aoste / X. de Maistre";['domaine public', 'public domain']
19;https://gallica.bnf.fr/ark:/12148/bpt6k168349j;Maistre, Xavier de (1763-1852) (nouvelle fenêtre);"""Prascovie"", drame russe en 5 actes, tiré de ""la Jeune Sibérienne"" de Xavier de Maistre,...";['domaine public', 'public domain']
19;https://gallica.bnf.fr/ark:/12148/bpt6k913106;Maistre, Xavier de (1763-1852) (nouvelle fenêtre);La jeune Sibérienne / par Xavier de Maistre;['domaine public', 'public domain']
19;https://gallica.bnf.fr/ark:/12148/bpt6k1072840;Maistre, Xavier de (1763-1852) (nouvelle fenêtre);Le lépreux de la cité d'Aoste / Xavier de Maîstre;['domaine public', 'public domain']
19;https://gallica.bnf.fr/ark:/12148/bpt6k643391;Maistre, Xavier de (1763-1852) (nouvelle fenêtre);"Les exilés de Sibérie ; [Beaux traits de dévouement] / par M. Xavier de Maistre";['domaine public', 'public domain']
19;https://gallica.bnf.fr/ark:/12148/bpt6k206448p;Maistre, Xavier de (1763-1852) (nouvelle fenêtre);Oeuvres inédites de Xavier de Maistre : premiers essais, fragments et correspondance. T. 2 / avec une étude et des notes par Eugène Réaume;['domaine public', 'public domain']
19;https://gallica.bnf.fr/ark:/12148/btv1b52501579h;Maistre, Xavier de (1763-1852) (nouvelle fenêtre);"Six mélodies et une havanaise variée à 2 voix / Pauline Viardot ; poésies de MM. Théophile Gautier, Xavier de Maistre, Louis Pomey, Henri-Charles Read, Armand Silvestre & Victoer Wilder";['domaine public', 'public domain']
19;https://gallica.bnf.fr/ark:/12148/bpt6k9760789b;Maistre, Xavier de (1763-1852) (nouvelle fenêtre);Oeuvres complètes du comte Xavier de Maistre (Nouvelle édition précédée d'une notice sur l'auteur) / illustrations de G. Staal;['domaine public', 'public domain']
19;https://gallica.bnf.fr/ark:/12148/bpt6k9760453p;Maistre, Xavier de (1763-1852) (nouvelle fenêtre);"Oeuvres complètes du comte Xavier de Maistre : édition illustrée pour la première fois / précédée d'une notice sur l'auteur par M. Sainte-Beuve,... ; vignettes dessinées par Staal...";['domaine public', 'public domain']
19;https://gallica.bnf.fr/ark:/12148/bpt6k58079696;Maistre, Xavier de (1763-1852) (nouvelle fenêtre);"Oeuvres complètes du Cte Xavier de Maistre, nouvelle édition : Voyage autour de ma chambre ; Expédition nocturne ; le Lépreux de la cité d'Aoste ; les Prisonniers du Caucase : la Jeune Sibérienne";['domaine public', 'public domain']
19;https://gallica.bnf.fr/ark:/12148/bpt6k641651;Maistre, Xavier de (1763-1852) (nouvelle fenêtre);Oeuvres complètes du comte Xavier de Maistre (Nouvelle édition) / éd. précédée d'une notice sur l'auteur par M. Sainte-Beuve,...;['domaine public', 'public domain']
